keyword,title,link,content
부동산 정책,"오세훈 ""부동산 정책, 거시경제 분석해 좀 더 정교하게""",https://www.newsis.com/view/NISX20250327_0003116022,"오세훈 서울시장이 토지거래허가구역 논란과 관련해 더 정교한부동산 정책을 펴겠다고 27일 밝혔다. 서울시에 따르면 오 시장은 이날 ""앞으로 토지거래허가구역을 포함한 주요부동산 정책추진 시 주택 시장과 거시 경제 동향을 체계적으로 분석해 정확한 판단과 예측으로 시민 경제와 일상을 좀 더 정교하게..."
부동산 정책,"우리금융 ""부동산 PF 시장 안정화 대응 방안 적극 추진""",https://www.yna.co.kr/view/AKR20250328127300002?input=1195m,"우리금융은 특히 저축은행 PF 대출 정리와 재구조화를 위해 추진하는 '저축은행업권 공동펀드' 참여를 검토하고 있다고 전했다. 우리금융은 ""향후부동산PF정책에 발맞춰 민간 자율사업 재구조화 등부동산시장 안정화에 적극적으로 참여할 예정""이라고 강조했다."
부동산 정책,“부동산으로 흘러간 대출 ‘2682조원’”… 절반은 가계대출,http://www.segye.com/newsView/20250327513865?OutUrl=naver,특히 가계부동산대출 중정책금융이 차지하는 비중은 지난 2020년 말 17.0%에서 지난해 말 23.7%까지 꾸준히 상승했다. 일반기업부동산담보대출 잔액은 지난해 말 기준 694조2000억원으로 집계됐다. 비주담대를 중심으로 큰 폭으로 늘면서 1년 전보다 11.3% 증가했다.부동산·건설업종 기업 대출은 1.8...
부동산 정책,"토허제 실책 수습 나선 서울시, 부동산 정책 조직 개편한다",http://www.edaily.co.kr/news/newspath.asp?newsid=04004886642107584,"(사진=서울시) 신선종 서울시 대변인은 이날 오후 공식 입장을 통해 “서울시는 토허구역 지정·해제와 같이 서울시민의 삶과 경제에 상당한 영향을 미칠 수 있는부동산 정책추진 시 사전 검증체계를 강화하고, 관련 조직의 전문성 보강을 주요 내용으로 하는 개선대책을 수립 중에 있다”고 했다. 세부..."
부동산 정책,"우리금융, 부동산PF 시장 안정화 지원…총 4개 펀드 2000억 출자",https://www.news1.kr/finance/general-finance/5735244,"우리금융 관계자는 ""부동산시장의 조속한 안정을 위한 지원정책을 계속 모색하는 중이다""며 ""향후부동산PF정책에 발맞춰 민간자율사업 재구조화 등부동산시장 안정화에 적극적으로 참여할 예정이다""고 밝혔다. 이밖에도 우리금융은 한국자산관리공사가 지난해 조성한 PF 부실 우려 사업장 재구조화..."
부동산 정책,"누구는 자가로, 누구는 월세로…사회 초년생 부동산도 양극화?",https://www.hankyung.com/article/2025032716497,"경제적 여력이 있는 청년들은 전세에서 자가로, 그렇지 못한 청년들은 전세에서 월세로 이동하며 양극화가 심해졌다는 의미다. 보고서는 다만 ""자가 소유 비율은 역대부동산 정책변화와 경제 상황이 복합적으로 작용한 결과""라며 ""해석에 주의할 필요가 있다""고 덧붙였다."
부동산 정책,"오세훈, 정책 실책 만회 나서… 시장 분석 전담 조직 설치",https://www.moneys.co.kr/article/2025032809063671159,"토지거래허가구역 확대 재지정 여파로 뭇매를 맞은 서울시가부동산 정책과 시장 동향을 분석하는 전담 조직을 신설한다. 서울시는 27일 공식 입장을 통해 ""토지거래허가구역 지정·해제와 같이 시민의 삶과 경제에 상당한 영향을 미칠 수 있는부동산 정책추진 시 사전 검증 체계를 강화한다""며 ""관련 조직의..."
부동산 정책,서울은 누르고 지방은 띄우고…혼돈의 부동산 시장[부릿지],http://news.mt.co.kr/mtview.php?no=2025032716355378557,"들썩이는 서울부동산시장과 침체된 지방부동산경기,정책들이 어떻게 영향을 미칠지 알아보겠습니다. 토허제 재지정 먼저 토허제 재지정입니다. 서울시가 지난달 풀었던 토허제를 약 35일만에 다시 지정하면서 지정범위를 넓혔습니다. 강남, 서초, 송파 즉 강남3구에다가 용산구까지 4개 구의 모든 아파트가..."
부동산 정책,"100억 한 채는 괜찮고...""너무 억울하다"" 40년간 변하지 않은 이것 [부동산 아토즈]",http://www.fnnews.com/news/202503281432139879,"부동산가격 상승 주범이자 '죄인'으로 분류되기도 한다. 취득세·종부세는 물론 양도세가 중과세 되는 것이 대표적인 예이다. 2주택 이상을 다주택자로... 이의 일환으로 국토연구원은 ‘다주택자 규제정책의 전환 필요성과 과제' 보고서를 발간 한 바 있다. 골자는 인구 및 자가 점유율, 지역 쇠퇴 상황을..."
부동산 정책,"“이제 떨어진다던 집값, 이게 무슨 일”...더 강하게 돌아온 부동산 규제, 효과는 글쎄 [부동산 이기자]",https://www.mk.co.kr/article/11271595,3.19부동산대책 쉽게보기 더 강하게 돌아온 ‘토허제’ 불붙던 거래는 줄겠지만 전셋값 상승·풍선효과 우려 그래도 집값 계속 오르면 조정대상... 이은형 대한건설정책연구원 연구위원 역시 비슷한 입장입니다. 이 연구위원은 “오는 9월까지 6개월 동안 토허구역을 지정하더라도 근본적인 문제가 남는다”며...
